Class Name,Minimum Recomended Hours,Maximum Recomended Hours,Category Letters
Advanced Conditioning,0,16,o
Advanced Drafting and Architecture,2,16,fg
Advanced Engineering Technology,2,16,g
Advanced Product Innovation Design & Manufacturing,0,16,o
AP 2-D Design,1,16,fg
AP Biology,5,16,dg
AP Calculus AB,7,16,cg
AP Calculus BC,5,16,cg
AP Chemistry,6,16,dg
AP Computer Science A,1,16,cg
AP English Language & Composition,4,16,b
AP English Literature & Composition,4,16,b
AP Environmental Science,6,16,dg
AP European History,4,16,a
AP Human Geography,3,16,a
AP Physics 1,4,16,dg
AP Physics 2,4,16,dg
AP Physics C E&M,5,16,dg
AP Physics C Mech,5,16,dg
AP Psychology,1,16,g
AP Research,8,16,g
AP Seminar,8,16,g
AP Statistics,4,16,cg
AP Studio Art (Drawing/Painting),3,16,fg
AP U.S. Government and Politics/Economics,3,16,a
AP U.S. History,2,16,a
Architectural Engineering,2,16,dg
Beginning Chorus,1,16,fg
Beginning Dance,0,16,o
Biology: The Living Earth,2,16,dg
Ceramics 1,0,16,fg
Ceramics 2,0,16,fg
Ceramics 3,0,16,fg
Chamber Choir,2,16,fg
Chemistry in the Earth System,2,16,dg
Computer Applications,0,16,o
Computer Science and Programming,1,16,g
Concert Band,4,16,fg
Concert Choir,2,16,fg
CSU ERWC,1,16,b
Dance,0,16,o
Digital Art 1,0,16,fg
Digital Art 2,0,16,fg
Drama 1,1,16,fg
Drama 2,1,16,fg
Drama 3,1,16,fg
Drama 4,1,16,fg
Drawing and Painting 1,1,16,fg
Drawing and Painting 2,1,16,fg
Drawing and Painting 3,3,16,fg
Engineering Technology,2,16,g
English 1,2,16,b
English 2,2,16,b
English 3,2,16,b
English 4,1,16,b
Enriched Health Education,1,16,o
Exploring Computer Science,0,16,g
Film as Visual Literature,0,16,fg
Financial Algebra,3,16,cg
Fitness 1,0,16,o
Forensics,2,16,dg
French 1,2,16,e
French 2,2,16,e
French 3,3,16,e
French AP Lang,3,16,e
German 1,2,16,e
German 2,2,16,e
German 3,3,16,e
German AP Lang,3,16,e
Government/Economics,2,16,a
Guitar,0,16,fg
Health Education,1,16,o
Highlights of Calculus,3,16,cg
Honors Chemistry in the Earth System,3,16,dg
Honors English 1,2,16,b
Honors English 2,3,16,b
Human Anatomy and Physiology,2,16,dg
Humanities,1,16,g
Integrated Math 1,2,16,cg
Integrated Math 2,2,16,cg
Integrated Math 3,3,16,cg
Introduction to Technical Theater,1,16,fg
Jazz Band,4,16,fg
Jazz Choir,4,16,fg
Manufacturing and Product Design,0,16,g
Methods of Film Criticism,1,16,b
Orchestra,2,16,fg
Patient Care I,1,16,g
Patient Care II,2,16,g
Physics in the Universe,2,16,dg
Pre-Calculus,4,16,cg
Psychology/Sociology,0,16,g
Spanish 1,2,16,e
Spanish 2,2,16,e
Spanish 3,3,16,e
Spanish AP Lang,3,16,e
Speech and Debate 1,1,16,g
Speech and Debate 2,1,16,g
Sports Specific Training,0,16,o
Statistics,2,16,cg
Technical Theater in Production,0,16,fg
Trigonometry,3,16,cg
U.S. History,2,16,a
Video Production 1,0,16,fg
Video Production 2,1,16,fg
Weight Training,0,16,o
World Cultures,2,16,a
Yearbook,1,16,o
Yoga,0,16,o